Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2024-01-02T15:00:00Z,VIXY,63.84,-6465,Market,Filled,-412725.6,"zscore = -1.8281498174068003; slope = 2.1913767534152893; (mean diversion) - Warning: No quote information available at 01/02/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-01-02T15:00:00Z,VIXM,16.9493,5072,Market,Filled,85966.8496,"zscore = -1.8281498174068003; slope = 2.1913767534152893; (mean diversion) - Warning: No quote information available at 01/02/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-01-02T15:00:00Z,VIXY,63.84,-6465,Market,Filled,-412725.6,"zscore = -1.8281498174068003; slope = 2.1913767534152893; (mean diversion) - Warning: No quote information available at 01/02/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-01-02T15:00:00Z,VIXM,16.9493,5072,Market,Filled,85966.8496,"zscore = -1.8281498174068003; slope = 2.1913767534152893; (mean diversion) - Warning: No quote information available at 01/02/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-01-03T15:00:00Z,VIXY,64,-6477,Market,Filled,-414528,"zscore = -1.3403559482922127; slope = 2.239588538855478; (mean diversion) - Warning: No quote information available at 01/03/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-01-03T15:00:00Z,VIXM,16.9,5222,Market,Filled,88251.8,"zscore = -1.3403559482922127; slope = 2.239588538855478; (mean diversion) - Warning: No quote information available at 01/03/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-01-03T15:00:00Z,VIXY,64,-6477,Market,Filled,-414528,"zscore = -1.3403559482922127; slope = 2.239588538855478; (mean diversion) - Warning: No quote information available at 01/03/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-01-03T15:00:00Z,VIXM,16.9,5222,Market,Filled,88251.8,"zscore = -1.3403559482922127; slope = 2.239588538855478; (mean diversion) - Warning: No quote information available at 01/03/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-01-05T16:00:00Z,VIXM,16.5,-10444,Market,Filled,-172326,"Take Profit, zscore = -0.6152907382844501, slope = 2.2774234976901564 - Warning: No quote information available at 01/05/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-01-05T16:00:00Z,VIXY,61.52,12954,Market,Filled,796930.08,"Take Profit, zscore = -0.6152907382844501, slope = 2.2774234976901564 - Warning: No quote information available at 01/05/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-02-05T18:00:00Z,VIXY,58.04,-7949,Market,Filled,-461359.96,"zscore = -1.1311475904618375; slope = 1.546765693353678; (mean diversion) - Warning: No quote information available at 02/05/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-02-05T18:00:00Z,VIXM,15.9199,3467,Market,Filled,55194.2933,"zscore = -1.1311475904618375; slope = 1.546765693353678; (mean diversion) - Warning: No quote information available at 02/05/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-02-05T18:00:00Z,VIXY,58.04,-7949,Market,Filled,-461359.96,"zscore = -1.1311475904618375; slope = 1.546765693353678; (mean diversion) - Warning: No quote information available at 02/05/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-02-05T18:00:00Z,VIXM,15.9199,3467,Market,Filled,55194.2933,"zscore = -1.1311475904618375; slope = 1.546765693353678; (mean diversion) - Warning: No quote information available at 02/05/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-02-06T15:00:00Z,VIXM,15.71,-6934,Market,Filled,-108933.14,"Take Profit, zscore = -1.5090141820777958, slope = 1.5380978376407974 - Warning: No quote information available at 02/06/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-02-06T15:00:00Z,VIXY,56.486,15898,Market,Filled,898014.428,"Take Profit, zscore = -1.5090141820777958, slope = 1.5380978376407974 - Warning: No quote information available at 02/06/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-02-06T16:00:00Z,VIXY,56.84,-8299,Market,Filled,-471715.16,"zscore = -1.5324485488556074; slope = 1.5377025886246374; (mean diversion) - Warning: No quote information available at 02/06/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-02-06T16:00:00Z,VIXM,15.78,3570,Market,Filled,56334.6,"zscore = -1.5324485488556074; slope = 1.5377025886246374; (mean diversion) - Warning: No quote information available at 02/06/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-02-06T16:00:00Z,VIXY,56.84,-8299,Market,Filled,-471715.16,"zscore = -1.5324485488556074; slope = 1.5377025886246374; (mean diversion) - Warning: No quote information available at 02/06/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-02-06T16:00:00Z,VIXM,15.78,3570,Market,Filled,56334.6,"zscore = -1.5324485488556074; slope = 1.5377025886246374; (mean diversion) - Warning: No quote information available at 02/06/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-02-08T15:00:00Z,VIXM,15.62,-7140,Market,Filled,-111526.8,"Take Profit, zscore = -1.9079550535566927, slope = 1.5699308063658797 - Warning: No quote information available at 02/08/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-02-08T15:00:00Z,VIXY,55.36,16598,Market,Filled,918865.28,"Take Profit, zscore = -1.9079550535566927, slope = 1.5699308063658797 - Warning: No quote information available at 02/08/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-02-08T16:00:00Z,VIXY,55.6,-8608,Market,Filled,-478604.8,"zscore = -1.645867968142108; slope = 1.5741191357249538; (mean diversion) - Warning: No quote information available at 02/08/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-02-08T16:00:00Z,VIXM,15.621,3905,Market,Filled,61000.005,"zscore = -1.645867968142108; slope = 1.5741191357249538; (mean diversion) - Warning: No quote information available at 02/08/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-02-08T16:00:00Z,VIXY,55.6,-8608,Market,Filled,-478604.8,"zscore = -1.645867968142108; slope = 1.5741191357249538; (mean diversion) - Warning: No quote information available at 02/08/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-02-08T16:00:00Z,VIXM,15.621,3905,Market,Filled,61000.005,"zscore = -1.645867968142108; slope = 1.5741191357249538; (mean diversion) - Warning: No quote information available at 02/08/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-02-27T15:00:00Z,VIXM,15.55,-7810,Market,Filled,-121445.5,"Take Profit, zscore = -1.9640375087006632, slope = 1.569840474342248 - Warning: No quote information available at 02/27/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-02-27T15:00:00Z,VIXY,54.1284,17216,Market,Filled,931874.5344,"Take Profit, zscore = -1.9640375087006632, slope = 1.569840474342248 - Warning: No quote information available at 02/27/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-02-27T16:00:00Z,VIXY,53.8,9058,Market,Filled,487320.4,"zscore = -2.2665977555101353; slope = 1.5807377915157017; (mean reversion) - Warning: No quote information available at 02/27/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-02-27T16:00:00Z,VIXM,15.5507,-4148,Market,Filled,-64504.3036,"zscore = -2.2665977555101353; slope = 1.5807377915157017; (mean reversion) - Warning: No quote information available at 02/27/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-02-27T16:00:00Z,VIXY,53.8,9058,Market,Filled,487320.4,"zscore = -2.2665977555101353; slope = 1.5807377915157017; (mean reversion) - Warning: No quote information available at 02/27/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-02-27T16:00:00Z,VIXM,15.5507,-4148,Market,Filled,-64504.3036,"zscore = -2.2665977555101353; slope = 1.5807377915157017; (mean reversion) - Warning: No quote information available at 02/27/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-03-05T19:00:00Z,VIXM,16.1072,8296,Market,Filled,133625.3312,"Take Profit, zscore = -1.5154170474024367, slope = 1.8706773537698553 - Warning: No quote information available at 03/05/2024 14:00:00 America/New_York, order filled using TradeBar data" 
2024-03-05T19:00:00Z,VIXY,57.12,-18116,Market,Filled,-1034785.92,"Take Profit, zscore = -1.5154170474024367, slope = 1.8706773537698553 - Warning: No quote information available at 03/05/2024 14:00:00 America/New_York, order filled using TradeBar data" 
2024-03-05T20:00:00Z,VIXY,57.36,-8599,Market,Filled,-493238.64,"zscore = -1.925186479992251; slope = 1.8539393995812565; (mean diversion) - Warning: No quote information available at 03/05/2024 15:00:00 America/New_York, order filled using TradeBar data" 
2024-03-05T20:00:00Z,VIXM,16.23,5308,Market,Filled,86148.84,"zscore = -1.925186479992251; slope = 1.8539393995812565; (mean diversion) - Warning: No quote information available at 03/05/2024 15:00:00 America/New_York, order filled using TradeBar data" 
2024-03-05T20:00:00Z,VIXY,57.36,-8599,Market,Filled,-493238.64,"zscore = -1.925186479992251; slope = 1.8539393995812565; (mean diversion) - Warning: No quote information available at 03/05/2024 15:00:00 America/New_York, order filled using TradeBar data" 
2024-03-05T20:00:00Z,VIXM,16.23,5308,Market,Filled,86148.84,"zscore = -1.925186479992251; slope = 1.8539393995812565; (mean diversion) - Warning: No quote information available at 03/05/2024 15:00:00 America/New_York, order filled using TradeBar data" 
2024-03-06T15:00:00Z,VIXM,15.94,-10616,Market,Filled,-169219.04,"Take Profit, zscore = -1.9436648003685708, slope = 1.8432162086663888 - Warning: No quote information available at 03/06/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-03-06T15:00:00Z,VIXY,55.4,17198,Market,Filled,952769.2,"Take Profit, zscore = -1.9436648003685708, slope = 1.8432162086663888 - Warning: No quote information available at 03/06/2024 10:00:00 America/New_York, order filled using TradeBar data" 
2024-03-06T16:00:00Z,VIXY,55.32,-9139,Market,Filled,-505569.48,"zscore = -1.9805934673496608; slope = 1.8420760161906093; (mean diversion) - Warning: No quote information available at 03/06/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-03-06T16:00:00Z,VIXM,15.9383,5582,Market,Filled,88967.5906,"zscore = -1.9805934673496608; slope = 1.8420760161906093; (mean diversion) - Warning: No quote information available at 03/06/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-03-06T16:00:00Z,VIXY,55.32,-9139,Market,Filled,-505569.48,"zscore = -1.9805934673496608; slope = 1.8420760161906093; (mean diversion) - Warning: No quote information available at 03/06/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-03-06T16:00:00Z,VIXM,15.9383,5582,Market,Filled,88967.5906,"zscore = -1.9805934673496608; slope = 1.8420760161906093; (mean diversion) - Warning: No quote information available at 03/06/2024 11:00:00 America/New_York, order filled using TradeBar data" 
2024-03-13T16:00:00Z,VIXM,16.06,-11164,Market,Filled,-179293.84,"Take Profit, zscore = -2.4484216046162017, slope = 1.4939744956523904 - Warning: No quote information available at 03/13/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-03-13T16:00:00Z,VIXY,54.08,18278,Market,Filled,988474.24,"Take Profit, zscore = -2.4484216046162017, slope = 1.4939744956523904 - Warning: No quote information available at 03/13/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-03-13T17:00:00Z,VIXY,53.88,10061,Market,Filled,542086.68,"zscore = -2.2917074288523365; slope = 1.4914197172498853; (mean reversion) - Warning: No quote information available at 03/13/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-03-13T17:00:00Z,VIXM,15.98,-4022,Market,Filled,-64271.56,"zscore = -2.2917074288523365; slope = 1.4914197172498853; (mean reversion) - Warning: No quote information available at 03/13/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-03-13T17:00:00Z,VIXY,53.88,10061,Market,Filled,542086.68,"zscore = -2.2917074288523365; slope = 1.4914197172498853; (mean reversion) - Warning: No quote information available at 03/13/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-03-13T17:00:00Z,VIXM,15.98,-4022,Market,Filled,-64271.56,"zscore = -2.2917074288523365; slope = 1.4914197172498853; (mean reversion) - Warning: No quote information available at 03/13/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-03-15T16:00:00Z,VIXM,16.555,8044,Market,Filled,133168.42,"Take Profit, zscore = -1.745508253154185, slope = 1.3101910535267698 - Warning: No quote information available at 03/15/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-03-15T16:00:00Z,VIXY,56.88,-20122,Market,Filled,-1144539.36,"Take Profit, zscore = -1.745508253154185, slope = 1.3101910535267698 - Warning: No quote information available at 03/15/2024 12:00:00 America/New_York, order filled using TradeBar data" 
2024-03-15T17:00:00Z,VIXY,58.36,-10127,Market,Filled,-591011.72,"zscore = -1.3996284399522168; slope = 1.288283970279127; (mean diversion) - Warning: No quote information available at 03/15/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-03-15T17:00:00Z,VIXM,16.76,2565,Market,Filled,42989.4,"zscore = -1.3996284399522168; slope = 1.288283970279127; (mean diversion) - Warning: No quote information available at 03/15/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-03-15T17:00:00Z,VIXY,58.36,-10127,Market,Filled,-591011.72,"zscore = -1.3996284399522168; slope = 1.288283970279127; (mean diversion) - Warning: No quote information available at 03/15/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-03-15T17:00:00Z,VIXM,16.76,2565,Market,Filled,42989.4,"zscore = -1.3996284399522168; slope = 1.288283970279127; (mean diversion) - Warning: No quote information available at 03/15/2024 13:00:00 America/New_York, order filled using TradeBar data" 
2024-03-15T19:00:00Z,VIXM,16.59,-5130,Market,Filled,-85106.7,"Take Profit, zscore = -1.9789010888359477, slope = 1.24134777250851 - Warning: No quote information available at 03/15/2024 15:00:00 America/New_York, order filled using TradeBar data" 
2024-03-15T19:00:00Z,VIXY,56.4,20254,Market,Filled,1142325.6,"Take Profit, zscore = -1.9789010888359477, slope = 1.24134777250851 - Warning: No quote information available at 03/15/2024 15:00:00 America/New_York, order filled using TradeBar data" 
2024-03-19T15:00:00Z,VIXM,16.1353,-4396,Market,Filled,-70930.7788,"Take Profit, zscore = -1.8849291457954436, slope = 0.713132798777139 - Warning: No quote information available at 03/19/2024 11:00:00 America/New_York, order filled using TradeBar data" 
