Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2024-01-19T15:00:00Z,VX14G24,14.6,-44,Market,Filled,-642.4,spread  = mean + 2.1*sigma (diversion) 
2024-01-19T15:00:00Z,VX20H24,15.75,38,Market,Filled,598.5,spread = mean + 2.1*sigma  (diversion) 
2024-02-12T15:00:00Z,VX14G24,13.45,44,Market,Filled,591.8,rollover; Win 
2024-02-12T15:00:00Z,VX20H24,14.65,-38,Market,Filled,-556.7,rollover; Win 
2024-02-15T15:00:00Z,VX20H24,15,-45,Market,Filled,-675,spread  = mean + 2.01*sigma (diversion) 
2024-02-15T15:00:00Z,VX17J24,15.95,38,Market,Filled,606.1,spread = mean + 2.01*sigma  (diversion) 
2024-02-16T17:00:00Z,VX17J24,15.75,-38,Market,Filled,-598.5,Diversion(Peak); Win 
2024-02-16T17:00:00Z,VX20H24,14.8,45,Market,Filled,666,Diversion(Peak); Win 
2024-02-16T17:00:00Z,VX20H24,14.8,45,Market,Filled,666,spread  = mean + 2.51*sigma (mean_revesion) 
2024-02-16T17:00:00Z,VX17J24,15.75,-37,Market,Filled,-582.75,spread = mean + 2.51*sigma (mean_reversion) 
2024-02-20T15:00:00Z,VX17J24,16.3,37,Market,Filled,603.1,Mean Reversion; Win 
2024-02-20T15:00:00Z,VX20H24,15.4,-45,Market,Filled,-693,Mean Reversion; Win 
2024-02-23T16:00:00Z,VX20H24,14.6,-46,Market,Filled,-671.6,spread  = mean + 2.25*sigma (diversion) 
2024-02-23T16:00:00Z,VX17J24,15.6,37,Market,Filled,577.2,spread = mean + 2.25*sigma  (diversion) 
2024-02-23T20:00:00Z,VX17J24,15.45,-37,Market,Filled,-571.65,Diversion(Peak); Win 
2024-02-23T20:00:00Z,VX20H24,14.45,46,Market,Filled,664.7,Diversion(Peak); Win 
2024-02-23T20:00:00Z,VX20H24,14.45,46,Market,Filled,664.7,spread  = mean + 2.88*sigma (mean_revesion) 
2024-02-23T20:00:00Z,VX17J24,15.45,-37,Market,Filled,-571.65,spread = mean + 2.88*sigma (mean_reversion) 
2024-03-05T15:00:00Z,VX17J24,15.4,37,Market,Filled,569.8,Mean Reversion; Win 
2024-03-05T15:00:00Z,VX20H24,14.5,-46,Market,Filled,-667,Mean Reversion; Win 
2024-03-08T15:00:00Z,VX20H24,14.3,-47,Market,Filled,-672.1,spread  = mean + 2.0*sigma (diversion) 
2024-03-08T15:00:00Z,VX17J24,15.4,37,Market,Filled,569.8,spread = mean + 2.0*sigma  (diversion) 
2024-03-12T15:00:00Z,VX17J24,15.15,-37,Market,Filled,-560.55,Diversion(Peak); Win 
2024-03-12T15:00:00Z,VX20H24,14.1,47,Market,Filled,662.7,Diversion(Peak); Win 
2024-03-12T15:00:00Z,VX20H24,14.1,47,Market,Filled,662.7,spread  = mean + 2.42*sigma (mean_revesion) 
2024-03-12T15:00:00Z,VX17J24,15.15,-37,Market,Filled,-560.55,spread = mean + 2.42*sigma (mean_reversion) 
2024-03-15T14:00:00Z,VX17J24,15.65,37,Market,Filled,579.05,Mean Reversion; Win 
2024-03-15T14:00:00Z,VX20H24,14.7,-47,Market,Filled,-690.9,Mean Reversion; Win 
2024-03-21T14:00:00Z,VX17J24,14.45,48,Market,Filled,693.6,spread  = mean + 2.97*sigma (mean reversion) 
2024-03-21T14:00:00Z,VX22K24,15.45,-37,Market,Filled,-571.65,spread = mean + 2.97*sigma  (mean reversion) 
2024-04-02T14:00:00Z,VX17J24,15.4,-48,Market,Filled,-739.2,Mean Reversion; Win 
2024-04-02T14:00:00Z,VX22K24,16.1,37,Market,Filled,595.7,Mean Reversion; Win 
2024-04-12T15:00:00Z,VX17J24,17.65,-52,Market,Filled,-917.8,spread < mean - 2.46*sigma (mean reversion) 
2024-04-12T15:00:00Z,VX22K24,17.7,34,Market,Filled,601.8,spread < mean - 2.46*sigma (mean reversion) 
2024-04-15T14:00:00Z,VX17J24,16.15,52,Market,Filled,839.8,rollover; Win 
2024-04-15T14:00:00Z,VX22K24,16.55,-34,Market,Filled,-562.7,rollover; Win 
2024-04-18T17:00:00Z,VX22K24,17.25,51,Market,Filled,879.75,spread < mean - 1.03*sigma (diversion) 
2024-04-18T17:00:00Z,VX18M24,17.55,-38,Market,Filled,-666.9,spread < mean - 1.03*sigma (diversion) 
2024-04-19T17:00:00Z,VX18M24,17.9,38,Market,Filled,680.2,Diversion(Bottom); Win 
2024-04-19T17:00:00Z,VX22K24,17.7,-51,Market,Filled,-902.7,Diversion(Bottom); Win 
2024-04-19T17:00:00Z,VX22K24,17.7,-52,Market,Filled,-920.4,spread  = mean - 2.0*sigma (mean_revesion) 
2024-04-19T17:00:00Z,VX18M24,17.9,38,Market,Filled,680.2,spread = mean - 2.0*sigma (mean_reversion) 
2024-04-22T18:00:00Z,VX18M24,16.7,-38,Market,Filled,-634.6,Mean Reversion; Win 
2024-04-22T18:00:00Z,VX22K24,16.35,52,Market,Filled,850.2,Mean Reversion; Win 
2024-04-25T14:00:00Z,VX22K24,16.75,-53,Market,Filled,-887.75,spread < mean - 2.7*sigma (mean reversion) 
2024-04-25T14:00:00Z,VX18M24,16.85,40,Market,Filled,674,spread < mean - 2.7*sigma (mean reversion) 
2024-04-26T17:00:00Z,VX18M24,15.8,-40,Market,Filled,-632,Mean Reversion; Win 
2024-04-26T17:00:00Z,VX22K24,15.4,53,Market,Filled,816.2,Mean Reversion; Win 
2024-05-01T14:00:00Z,VX22K24,15.9,53,Market,Filled,842.7,spread < mean - 1.63*sigma (diversion) 
2024-05-01T14:00:00Z,VX18M24,16.1,-41,Market,Filled,-660.1,spread < mean - 1.63*sigma (diversion) 
2024-05-03T14:00:00Z,VX18M24,15.25,41,Market,Filled,625.25,Wrong Direction (n > 0); Loss 
2024-05-03T14:00:00Z,VX22K24,14.6,-53,Market,Filled,-773.8,Wrong Direction (n > 0); Loss 
2024-05-10T16:00:00Z,VX22K24,13.7,-50,Market,Filled,-685,spread  = mean + 2.19*sigma (diversion) 
2024-05-10T16:00:00Z,VX18M24,14.55,42,Market,Filled,611.1,spread = mean + 2.19*sigma  (diversion) 
2024-05-16T18:00:00Z,VX18M24,13.8,-42,Market,Filled,-579.6,Diversion(Peak); Win 
2024-05-16T18:00:00Z,VX22K24,12.95,50,Market,Filled,647.5,Diversion(Peak); Win 
